frame_path,label,confidence,notes,annotator
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_002360.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_002791.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_002916.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_003104.png,them,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_003157.png,them,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_003687.png,them,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_003944.png,them,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_004103.png,them,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_004224.png,them,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_004525.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_004628.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_004753.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_005708.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_006430.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_006502.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_006620.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_006739.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_006809.png,them,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_006882.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_007010.png,other,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_007088.png,,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_007449.png,,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_008086.png,,1.0,,
/home/kevin/Documents/Dev/ca-friend-foe-analysis/frames/der_ewige_jude/frame_008147.png,,1.0,,
