frame_path,label,confidence,notes,annotator,timestamp
data/frames/heimkehr/frame_003898.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:23.001995
data/frames/heimkehr/frame_004361.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:28.359578
data/frames/heimkehr/frame_004777.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:52:32.689807
data/frames/heimkehr/frame_005365.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:52:36.896383
data/frames/heimkehr/frame_005470.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:38.880990
data/frames/heimkehr/frame_005543.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:39.767563
data/frames/heimkehr/frame_005725.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:40.484868
data/frames/heimkehr/frame_005948.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:40.992315
data/frames/heimkehr/frame_006196.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:43.691411
data/frames/heimkehr/frame_006359.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:52:44.716838
data/frames/heimkehr/frame_007265.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:52:45.235147
data/frames/heimkehr/frame_007745.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:52:48.372041
data/frames/heimkehr/frame_007943.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:51.339425
data/frames/heimkehr/frame_007981.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:51.760838
data/frames/heimkehr/frame_008192.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:55.749601
data/frames/heimkehr/frame_008305.png,neutral,0.5,Neutral/Ambiguous - manually annotated,Felix,2026-03-10T13:52:57.293941
data/frames/heimkehr/frame_008374.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:52:58.921256
data/frames/heimkehr/frame_008437.png,neutral,0.5,Neutral/Ambiguous - manually annotated,Felix,2026-03-10T13:53:00.496161
data/frames/heimkehr/frame_008479.png,neutral,0.5,Neutral/Ambiguous - manually annotated,Felix,2026-03-10T13:53:03.217319
data/frames/heimkehr/frame_008549.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:53:05.151492
data/frames/heimkehr/frame_008619.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:53:11.011258
data/frames/heimkehr/frame_008887.png,neutral,0.5,Neutral/Ambiguous - manually annotated,Felix,2026-03-10T13:53:12.026716
data/frames/heimkehr/frame_009157.png,neutral,0.5,Neutral/Ambiguous - manually annotated,Felix,2026-03-10T13:53:18.139305
data/frames/heimkehr/frame_009219.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:53:19.615149
data/frames/heimkehr/frame_009296.png,neutral,0.5,Neutral/Ambiguous - manually annotated,Felix,2026-03-10T13:53:20.928911
data/frames/heimkehr/frame_010337.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:24.760275
data/frames/heimkehr/frame_010544.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:53:32.256689
data/frames/heimkehr/frame_010829.png,us,1.0,Friend/Us - manually annotated,Felix,2026-03-10T13:53:32.766182
data/frames/heimkehr/frame_011243.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:33.891003
data/frames/heimkehr/frame_011369.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:34.641998
data/frames/heimkehr/frame_011461.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:35.810127
data/frames/heimkehr/frame_011641.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:36.245155
data/frames/heimkehr/frame_011761.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:36.648154
data/frames/heimkehr/frame_011821.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:37.015612
data/frames/heimkehr/frame_011872.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:37.426833
data/frames/heimkehr/frame_012275.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:37.825058
data/frames/heimkehr/frame_012377.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:38.241916
data/frames/heimkehr/frame_012620.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:38.683702
data/frames/heimkehr/frame_012752.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:39.138317
data/frames/heimkehr/frame_012849.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:39.679414
data/frames/heimkehr/frame_012958.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:40.145955
data/frames/heimkehr/frame_013059.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:40.601684
data/frames/heimkehr/frame_013325.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:40.912492
data/frames/heimkehr/frame_013367.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:41.268135
data/frames/heimkehr/frame_013563.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:41.680533
data/frames/heimkehr/frame_013877.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:42.123132
data/frames/heimkehr/frame_013964.png,them,1.0,Foe/Them - manually annotated,Felix,2026-03-10T13:53:42.422365
